unidade_cedente,unidade_destinataria,quantidade,participacao_pct
VARA DO TRABALHO DE IMBITUBA,2ª VARA DO TRABALHO DE BRUSQUE,3,0.40595399188092013
5ª VARA DO TRABALHO DE JOINVILLE,VARA DO TRABALHO DE INDAIAL,3,0.40595399188092013
VARA DO TRABALHO DE NAVEGANTES,VARA DO TRABALHO DE FRAIBURGO,3,0.40595399188092013
2ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE MAFRA,3,0.40595399188092013
2ª VARA DO TRABALHO DE JOINVILLE,VARA DO TRABALHO DE CURITIBANOS,3,0.40595399188092013
VARA DO TRABALHO DE NAVEGANTES,VARA DO TRABALHO DE INDAIAL,3,0.40595399188092013
2ª VARA DO TRABALHO DE JOINVILLE,VARA DO TRABALHO DE SÃO BENTO DO SUL,3,0.40595399188092013
3ª VARA DO TRABALHO DE CHAPECÓ,1ª VARA DO TRABALHO DE BLUMENAU,3,0.40595399188092013
VARA DO TRABALHO DE XANXERÊ,1ª VARA DO TRABALHO DE BRUSQUE,3,0.40595399188092013
VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,VARA DO TRABALHO DE CURITIBANOS,3,0.40595399188092013
2ª VARA DO TRABALHO DE JOINVILLE,VARA DO TRABALHO DE CANOINHAS,3,0.40595399188092013
2ª VARA DO TRABALHO DE CHAPECÓ,1ª VARA DO TRABALHO DE TUBARÃO,3,0.40595399188092013
1ª VARA DO TRABALHO DE JOINVILLE,3ª VARA DO TRABALHO DE LAGES,3,0.40595399188092013
2ª VARA DO TRABALHO DE CHAPECÓ,1ª VARA DO TRABALHO DE BLUMENAU,3,0.40595399188092013
VARA DO TRABALHO DE XANXERÊ,1ª VARA DO TRABALHO DE LAGES,2,0.2706359945872801
VARA DO TRABALHO DE XANXERÊ,1ª VARA DO TRABALHO DE TUBARÃO,2,0.2706359945872801
VARA DO TRABALHO DE ITAPEMA,3ª VARA DO TRABALHO DE BLUMENAU,2,0.2706359945872801
VARA DO TRABALHO DE XANXERÊ,2ª VARA DO TRABALHO DE BRUSQUE,2,0.2706359945872801
1ª VARA DO TRABALHO DE CHAPECÓ,3ª VARA DO TRABALHO DE BLUMENAU,2,0.2706359945872801
VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,VARA DO TRABALHO DE INDAIAL,2,0.2706359945872801
1ª VARA DO TRABALHO DE CHAPECÓ,1ª VARA DO TRABALHO DE LAGES,2,0.2706359945872801
