unidade_norm,unidade_original,classificacao,quantidade_magistrados,quantidade,percentual_total,diferenca_absoluta_media,diferenca_percentual_media,processos_por_magistrado,diferenca_absoluta_media_magistrado,diferenca_percentual_media_magistrado,cenario
VARA DO TRABALHO DE CANOINHAS,VARA DO TRABALHO DE CANOINHAS,DESTINATARIA,2.0,198,1.7260918838810912,6.816666666666663,3.5655130328654847,99.0,-14.574257425742573,-12.83235986400488,COM_EQUALIZACAO
VARA DO TRABALHO DE CONCORDIA,VARA DO TRABALHO DE CONCÓRDIA,CEDENTE,2.0,240,2.092232586522535,48.81666666666666,25.533955191352103,120.0,6.425742574257427,5.657745619388023,COM_EQUALIZACAO
VARA DO TRABALHO DE CURITIBANOS,VARA DO TRABALHO DE CURITIBANOS,DESTINATARIA,1.0,138,1.2030337372504576,-53.18333333333334,-27.81797576497254,138.0,24.425742574257427,21.506407462296227,COM_EQUALIZACAO
VARA DO TRABALHO DE FRAIBURGO,VARA DO TRABALHO DE FRAIBURGO,DESTINATARIA,1.0,143,1.2466219161363439,-48.18333333333334,-25.20268503181937,143.0,29.425742574257427,25.90881352977073,COM_EQUALIZACAO
VARA DO TRABALHO DE IMBITUBA,VARA DO TRABALHO DE IMBITUBA,CEDENTE,1.0,132,1.1507279225873943,-59.18333333333334,-30.956324644756343,132.0,18.425742574257427,16.223520181326826,COM_EQUALIZACAO
VARA DO TRABALHO DE INDAIAL,VARA DO TRABALHO DE INDAIAL,DESTINATARIA,1.0,102,0.8891988492720774,-89.18333333333334,-46.648069043675356,102.0,-11.574257425742573,-10.19091622352018,COM_EQUALIZACAO
VARA DO TRABALHO DE ITAPEMA,VARA DO TRABALHO DE ITAPEMA,CEDENTE,2.0,254,2.2142794874030165,62.81666666666666,32.85676924418098,127.0,13.425742574257427,11.821114113852325,COM_EQUALIZACAO
VARA DO TRABALHO DE JOACABA,VARA DO TRABALHO DE JOAÇABA,NEUTRA,2.0,229,1.9963385929735855,37.81666666666666,19.78031557841513,114.5,0.925742574257427,0.815098945166072,COM_EQUALIZACAO
VARA DO TRABALHO DE MAFRA,VARA DO TRABALHO DE MAFRA,DESTINATARIA,2.0,215,1.8742916920931045,23.816666666666663,12.45750152558626,107.5,-6.074257425742573,-5.348269549298229,COM_EQUALIZACAO
VARA DO TRABALHO DE NAVEGANTES,VARA DO TRABALHO DE NAVEGANTES,CEDENTE,2.0,230,2.0050562287507625,38.81666666666666,20.303373725045766,115.0,1.425742574257427,1.2553395519135222,COM_EQUALIZACAO
VARA DO TRABALHO DE PALHOCA,VARA DO TRABALHO DE PALHOÇA,CEDENTE,2.0,224,1.9527504140876994,32.81666666666666,17.16502484526196,112.0,-1.574257425742573,-1.3861040885711784,COM_EQUALIZACAO
VARA DO TRABALHO DE SAO BENTO DO SUL,VARA DO TRABALHO DE SÃO BENTO DO SUL,DESTINATARIA,2.0,218,1.900444599424636,26.816666666666663,14.02667596547816,109.0,-4.574257425742573,-4.027547729055879,COM_EQUALIZACAO
VARA DO TRABALHO DE SAO MIGUEL DO OESTE,VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,CEDENTE,1.0,169,1.4732804463429516,-22.183333333333337,-11.603173219422894,169.0,55.42574257425743,48.80132508063813,COM_EQUALIZACAO
VARA DO TRABALHO DE TIMBO,VARA DO TRABALHO DE TIMBÓ,NEUTRA,1.0,105,0.9153517566036091,-86.18333333333334,-45.07889460378345,105.0,-8.574257425742573,-7.54947258303548,COM_EQUALIZACAO
VARA DO TRABALHO DE VIDEIRA,VARA DO TRABALHO DE VIDEIRA,NEUTRA,1.0,169,1.4732804463429516,-22.183333333333337,-11.603173219422894,169.0,55.42574257425743,48.80132508063813,COM_EQUALIZACAO
VARA DO TRABALHO DE XANXERE,VARA DO TRABALHO DE XANXERÊ,CEDENTE,1.0,179,1.5604568041147242,-12.183333333333337,-6.372591753116557,179.0,65.42574257425743,57.60613721558714,COM_EQUALIZACAO
1 VARA DO TRABALHO DE BALNEARIO CAMBORIU,1ª VARA DO TRABALHO DE BALNEÁRIO CAMBORIÚ,NEUTRA,2.0,214,1.8655740563159269,22.816666666666663,11.934443378955626,107.0,-6.574257425742573,-5.788510156045679,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE BLUMENAU,1ª VARA DO TRABALHO DE BLUMENAU,DESTINATARIA,2.0,164,1.4296922674570656,-27.183333333333337,-14.218463952576062,82.0,-31.574257425742573,-27.800540493418186,SEM_EQUALIZACAO
1 VARA DO TRABALHO DE BRUSQUE,1ª VARA DO TRABALHO DE BRUSQUE,DESTINATARIA,2.0,271,2.3624792956150293,79.81666666666666,41.74875773690175,135.5,21.925742574257427,19.305204428558977,SEM_EQUALIZACAO
